,PRE062-1
LZIC,0.14571105
NMNAT1,0.04094313
RBP7,0.09331972
UBE4B,0.06744258
KIF1B,0.10078809
PGD,0.10589011
CENPS,0.06470199
DFFA,0.13872881
PEX14,0.06030074
CASZ1,0.087223694
TARDBP,0.17535192
SRM,0.20157248
EXOSC10,0.08697996
MTOR,0.057561606
UBIAD1,0.03727977
FBXO2,0.15059637
FBXO44,0.10009272
FBXO6,0.026275331
MAD2L2,0.093212955
AGTRAP,0.23411945
C1orf167,0.0147392135
MTHFR,0.044441003
CLCN6,0.04350533
KIAA2013,0.14764419
PLOD1,0.037143644
MFN2,0.13514818
MIIP,0.06257991
TNFRSF1B,0.069107786
VPS13D,0.13715515
DHRS3,0.2975686
PDPN,0.01730679
PRDM2,0.13380359
KAZN,0.15398315
TMEM51,0.14891016
FHAD1,0.009964759
EFHD2,0.17583802
CASP9,0.07266947
DNAJC16,0.08038856
DDI2,0.043575097
PLEKHM2,0.09716671
SLC25A34,0.021625798
FBLIM1,0.020332543
SPEN-AS1,0.07486041
SPEN,0.16924027
ZBTB17,0.053307224
SRARP,0.05025052
HSPB7,0.051563527
EPHA2,0.058466896
CPLANE2,0.008990886
FBXO42,0.07464823
SZRD1,0.17067765
NECAP2,0.15994811
NBPF1,0.02530656
CROCC,0.028708298
ENSG00000238142,0.05878029
MFAP2,0.0072082654
ATP13A2,0.062109064
SDHB,0.32372954
PADI2,0.015803438
PADI4,0.0017855315
RCC2,0.08681059
ARHGEF10L,0.14082675
IGSF21,0.0089487815
ALDH4A1,0.22595505
IFFO2,0.012286857
UBR4,0.07996583
EMC1,0.06268903
MRTO4,0.11200436
AKR7A3,0.13326937
AKR7A2,0.45036831
SLC66A1,0.036332067
CAPZB,0.6660464
MICOS10,1.2199563
NBL1,0.15748134
TMCO4,0.07219673
OTUD3,0.032240782
PLA2G5,0.0053830794
CAMK2N1,0.7180761
MUL1,0.12307016
CDA,0.24703418
PINK1,0.30063242
PINK1-AS,0.0045809173
DDOST,0.35104725
KIF17,0.0071101775
HP1BP3,0.48171833
EIF4G3,0.13508011
ECE1,0.17319416
NBPF3,0.0053105284
ALPL,0.018162716
USP48,0.122890115
HSPG2,0.24735855
CDC42,0.79309094
WNT4,0.0061439704
ZBTB40,0.041367497
C1QA,0.080617815
C1QC,0.06508389
C1QB,0.06490846
EPHB2,0.012881899
KDM1A,0.10744763
LUZP1,0.21543214
HNRNPR,0.35830423
ZNF436,0.0064876713
TCEA3,0.3293408
ASAP3,0.055494815
ID3,0.46203196
RPL11,2.9175236
ELOA,0.07600172
PITHD1,0.24743162
LYPLA2,0.1507138
GALE,0.08125033
HMGCL,0.23252563
FUCA1,0.24099849
PNRC2,0.3557756
SRSF10,0.45569804
STPG1,0.032038126
NIPAL3,0.10015803
RCAN3,0.08163689
SRRM1,0.57763416
CLIC4,0.2256858
RUNX3,0.05684514
SYF2,0.5048259
RSRP1,0.49287733
TMEM50A,0.51688284
MACO1,0.1111517
LDLRAP1,0.051183775
MAN1C1,0.072132535
ENSG00000233478,0.0
SELENON,0.14861722
MTFR1L,0.26610446
PAQR7,0.10950613
STMN1,0.34921792
PAFAH2,0.04031942
PDIK1L,0.030491611
FAM110D,0.032546453
ZNF593OS,0.0013946864
ZNF593,0.3433024
CEP85,0.015399614
SH3BGRL3,0.8273717
UBXN11,0.055475455
CD52,0.18877241
DHDDS,0.09390006
HMGN2,0.92971057
RPS6KA1,0.12284302
ARID1A,0.17234531
PIGV,0.03653903
ZDHHC18,0.019521182
SFN,0.0043938127
GPN2,0.054061368
GPATCH3,0.024253082
NUDC,0.45465553
KDF1,0.054515447
TRNP1,0.08003102
SLC9A1,0.054303713
WDTC1,0.062590495
TMEM222,0.15672451
SYTL1,0.03719108
MAP3K6,0.06398969
FCN3,0.066585064
CD164L2,0.0
WASF2,0.4879622
AHDC1,0.06663392
FGR,0.024032822
IFI6,0.14407644
FAM76A,0.0564561
STX12,0.1767407
PPP1R8,0.052504454
THEMIS2,0.06943742
RPA2,0.18070056
XKR8,0.023594946
EYA3,0.13432874
PTAFR,0.030255055
DNAJC8,0.49158713
ATP5IF1,1.4652357
ENSG00000270605,0.0121911345
MED18,0.02597189
PHACTR4,0.16306661
RCC1,0.0188036
TRNAU1AP,0.10480122
SNHG12,0.09046146
TAF12,0.15135296
RAB42,0.0056041502
GMEB1,0.040146492
YTHDF2,0.24694848
EPB41,0.11630116
TMEM200B,0.010022001
SRSF4,0.24051994
MECR,0.085501984
PTPRU,0.030966094
LAPTM5,0.21081334
SDC3,0.04001691
PUM1,0.2061111
NKAIN1,0.0
SNRNP40,0.17513359
ZCCHC17,0.20054592
FABP3,0.28068325
SERINC2,0.3627531
TINAGL1,0.37024698
PEF1,0.23262942
COL16A1,0.03148759
PTP4A2,0.56546736
KHDRBS1,0.41617003
TMEM39B,0.042909067
KPNA6,0.16750158
TXLNA,0.104185544
CCDC28B,0.089182556
IQCC,0.009157772
TMEM234,0.07001295
EIF3I,0.43270755
FAM167B,0.04349296
LCK,0.07085758
HDAC1,0.23265071
MARCKSL1,0.18066835
FAM229A,0.09342281
BSDC1,0.126676
ZBTB8A,0.015629493
ZBTB8OS,0.29714203
RBBP4,0.24869534
SYNC,0.02959373
NHSL3,0.19596556
YARS1,0.038777724
S100PBP,0.060294908
TMEM54,0.093828626
RNF19B,0.056801528
AK2,0.38701138
ZNF362,0.05179282
PHC2,0.3220909
SMIM12,0.25769353
GJA4,0.11288531
ENSG00000284773,0.0064196982
ZMYM6,0.03602776
ZMYM1,0.063952625
SFPQ,0.6078004
ZMYM4,0.13690822
KIAA0319L,0.15828162
TFAP2E-AS1,0.010446624
PSMB2,0.46632552
C1orf216,0.01887313
CLSPN,0.008975237
AGO4,0.019310338
AGO1,0.0632789
AGO3,0.107901916
ADPRS,0.11703293
COL8A2,0.0068500536
TRAPPC3,0.22437766
MAP7D1,0.13208546
THRAP3,0.36999008
SH3D21,0.017846212
EVA1B,0.25749534
STK40,0.083555534
LSM10,0.23773718
OSCP1,0.05273828
MRPS15,0.38081905
CSF3R,0.014162836
LITATS1,0.03875955
ZC3H12A,0.072387956
MEAF6,0.3200881
SNIP1,0.060252033
DNALI1,0.080529206
GNL2,0.065495394
AIRIM,0.039979246
CDCA8,0.0018052364
YRDC,0.096062556
C1orf122,0.4100438
MTF1,0.032618444
INPP5B,0.015341729
SF3A3,0.181181
FHL3,0.062348343
UTP11,0.15473619
RRAGC,0.03944587
MYCBP,0.08918385
RHBDL2,0.001419808
AKIRIN1,0.25679722
NDUFS5,1.5464888
MACF1,0.44923595
PABPC4,0.24152613
HEYL,0.030404393
PPIE,0.19445431
TRIT1,0.031487223
MFSD2A,0.0071818354
CAP1,0.4495381
PPT1,0.2603216
RLF,0.110533744
ZMPSTE24-DT,0.06304935
ZMPSTE24,0.15022348
COL9A2,0.063898146
SMAP2,0.16482711
ZNF684,0.04415912
RIMS3,0.009926519
NFYC,0.085972674
CITED4,0.22315349
CTPS1,0.0380328
SCMH1,0.070458345
HIVEP3,0.02068352
FOXJ3,0.08673088
PPCS,0.45623034
CCDC30,0.053825192
PPIH,0.17550378
YBX1,1.299543
P3H1,0.031011663
C1orf50,0.03006566
SVBP,0.21832043
ERMAP,0.017531028
ZNF691,0.01894957
SLC2A1,0.054436017
CFAP144,0.009989874
EBNA1BP2,0.24665786
TMEM125,0.065754764
C1orf210,0.077861644
TIE1,0.041037172
ELOVL1,0.10929149
MED8,0.11762865
SZT2,0.04211273
HYI,0.2378417
PTPRF,0.2575851
KDM4A,0.030996125
ST3GAL3,0.03167453
ARTN,0.020188613
IPO13,0.051956262
DPH2,0.048055325
ATP6V0B,1.2164538
B4GALT2,0.053508237
CCDC24,0.050120253
SLC6A9,0.0055553336
DMAP1,0.15740788
ERI3,0.19118457
RNF220,0.08633519
TMEM53,0.10627815
KIF2C,0.0011751303
RPS8,2.5609286
PLK3,0.069449246
BTBD19,0.010193792
EIF2B3,0.06530833
HECTD3,0.024641493
UROD,0.17125198
MUTYH,0.056331605
TOE1,0.050665703
PRDX1,1.5661588
AKR1A1,0.39762598
NASP,0.28903022
CCDC17,0.0038180824
GPBP1L1,0.16863792
TMEM69,0.06340437
IPP,0.05372506
MAST2,0.023628376
PIK3R3,0.056153696
TSPAN1,0.20061135
POMGNT1,0.13233432
LURAP1,0.040763147
LRRC41,0.10983024
UQCRH,1.5745484
NSUN4,0.032649476
FAAH,0.064417236
MKNK1,0.082789086
MOB3C,0.03595793
ATPAF1,0.15178844
EFCAB14,0.41309607
CYP4B1,0.016208133
TAL1,0.015123328
CMPK1,0.22508377
TRABD2B,0.11568933
SPATA6,0.08932773
ELAVL4,0.0
FAF1,0.10789494
CDKN2C,0.06778308
RNF11,0.16393311
EPS15,0.14035763
OSBPL9,0.25501543
NRDC,0.2843865
TXNDC12,0.2608664
KTI12,0.05245154
BTF3L4,0.32065538
ZFYVE9,0.04595163
CC2D1B,0.035419628
PRPF38A,0.17908573
TUT4,0.25600046
GPX7,0.029387409
SHISAL2A,0.0072688516
COA7,0.044950727
ZYG11B,0.095446914
ECHDC2,0.45054653
SCP2,0.6600671
PODN,0.026003439
CPT2,0.10261947
CZIB,0.3235395
MAGOH,0.49505362
LRP8,0.0017247023
NDC1,0.026528193
YIPF1,0.06954816
IFT25,0.31330857
LRRC42,0.06329179
TMEM59,1.2262993
TCEANC2,0.029506708
CYB5RL,0.018204289
MRPL37,0.19826627
SSBP3,0.25233832
ACOT11,0.068839125
TTC4,0.015962614
DHCR24,0.044383436
TMEM61,0.153148
USP24,0.11111391
PLPP3,0.31100893
OMA1,0.11398778
TACSTD2,0.45427886
MYSM1,0.10481272
JUN,1.2342665
FGGY,0.057916686
NFIA,0.24453577
NFIA-AS2,0.0
TM2D1,0.33188486
PATJ,0.19187124
USP1,0.12838072
DOCK7,0.078980014
ANGPTL3,0.037671477
ATG4C,0.034180377
ALG6,0.03181597
ITGB3BP,0.18905996
EFCAB7,0.041486524
PGM1,0.13790996
CACHD1,0.03462714
JAK1,0.45017627
AK4,0.11193896
DNAJC6,0.015127084
LEPROT,0.54760575
LEPR,0.039235186
PDE4B,0.046852242
SGIP1,0.051628444
MIER1,0.21345308
SERBP1,0.6448427
GADD45A,0.5469347
GNG12,0.26632714
WLS,0.21492714
LRRC40,0.039887153
SRSF11,0.48392487
ANKRD13C,0.0596324
ZRANB2,0.3622539
FPGT,0.05337913
FPGT-TNNI3K,0.0039931284
CRYZ,0.23716772
TYW3,0.14060548
ACADM,0.37084672
RABGGTB,0.19501342
ST6GALNAC3,0.04208699
PIGK,0.09261486
ZZZ3,0.115873575
USP33,0.17290972
MIGA1,0.15795547
NEXN,0.12792419
FUBP1,0.18281756
DNAJB4,0.15374371
GIPC2,0.05959082
ENSG00000273338,0.038040634
IFI44L,0.038682356
IFI44,0.065899186
ADGRL4,0.07649693
ADGRL2,0.11364232
TTLL7,0.0520488
PRKACB,0.11199614
RPF1,0.10169655
GNG5,1.0871905
SPATA1,0.013370066
CTBS,0.12407814
SSX2IP,0.0513061
C1orf52,0.13285838
BCL10,0.15569061
DDAH1,0.18405712
CCN1,0.39651543
ZNHIT6,0.07006241
ODF2L,0.22619756
SH3GLB1,0.3531029
SELENOF,0.43862897
HS2ST1,0.04646438
LMO4,0.1687198
PKN2,0.3660343
GTF2B,0.19990219
KYAT3,0.10818639
RBMXL1,0.062811986
GBP3,0.10670726
GBP1,0.06907188
GBP2,0.114483885
GBP4,0.06057806
GBP5,0.028347524
LRRC8B,0.036600765
LRRC8C-DT,0.0131123355
LRRC8C,0.029355321
LRRC8D,0.042905103
ZNF326,0.12400018
ZNF644,0.25085896
TGFBR3,0.1051693
BTBD8,0.026479803
GLMN,0.045772582
RPAP2,0.08952783
EVI5,0.117860965
RPL5,2.3544235
DIPK1A,0.010309213
MTF2,0.12968038
TMED5,0.20009069
CCDC18,0.010030797
DR1,0.16352864
FNBP1L,0.26281568
BCAR3,0.08049067
DNTTIP2,0.20970295
GCLM,0.13238247
ARHGAP29,0.37654206
ABCD3,0.153219
F3,0.10677454
CNN3,0.56197613
ALG14,0.10455458
TLCD4,0.046281483
PTBP2,0.089269705
DPYD,0.050119337
SNX7,0.10292898
PALMD,0.069762856
AGL,0.1477377
SLC35A3,0.08288004
MFSD14A,0.0060633775
TRMT13,0.0591713
DBT,0.12715524
RTCA-AS1,0.016451156
RTCA,0.112031445
CDC14A,0.05520969
VCAM1,0.14770919
EXTL2,0.06837458
SLC30A7,0.069089
DPH5,0.05115786
DPH5-DT,0.029039558
S1PR1,0.04295089
RNPC3,0.27515092
PRMT6,0.055532128
VAV3,0.28267977
SLC25A24,0.091948554
EEIG2,0.022104122
HENMT1,0.03635859
PRPF38B,0.26186267
STXBP3,0.1928667
GPSM2,0.016541732
CLCC1,0.08030315
WDR47,0.031318035
TAF13,0.08347533
TMEM167B,0.12265782
SARS1,0.24527064
CELSR2,0.053237073
PSRC1,0.0102847135
SORT1,0.19001836
PSMA5,0.39410928
CYB561D1,0.014330933
AMIGO1,0.022374552
GNAI3,0.20911229
AMPD2,0.05741123
GSTM4,0.17399801
GSTM1,0.007178802
GSTM5,0.017945526
GSTM3,0.5191701
CSF1,0.03716913
AHCYL1,0.48495406
STRIP1,0.035794325
KCNC4,0.081128135
RBM15,0.02832221
SLC16A4,0.1302068
LAMTOR5,0.9289396
CD53,0.15871508
LRIF1,0.09870704
DRAM2,0.12348375
CEPT1,0.075573735
ENSG00000273221,0.0023882382
DENND2D,0.07392223
WDR77,0.05353098
ATP5PB,0.47397384
C1orf162,0.08379976
TMIGD3,0.0
ADORA3,0.0
RAP1A,0.29912567
DDX20,0.05085752
CTTNBP2NL,0.093364604
WNT2B,0.011844828
ST7L,0.08488956
CAPZA1,0.20929457
MOV10,0.053753916
RHOC,0.5199532
PPM1J,0.0058936323
SLC16A1,0.028720718
SLC16A1-AS1,0.014315436
LRIG2,0.03480524
MAGI3,0.09078957
PHTF1,0.060520153
RSBN1,0.120463274
PTPN22,0.031821728
AP4B1,0.019599704
DCLRE1B,0.01361459
HIPK1-AS1,0.008462293
HIPK1,0.11242676
OLFML3,0.025751285
TRIM33,0.12817068
BCAS2,0.23140968
DENND2C,0.019690998
NRAS,0.04571276
CSDE1,0.713181
SIKE1,0.1460976
TSPAN2,0.07172277
NGF,0.0006961748
VANGL1,0.026314415
CASQ2,0.03122676
SLC22A15,0.035500564
ATP1A1,1.5411936
CD58,0.11368007
CD2,0.09366336
PTGFRN,0.03558052
TTF2,0.033691265
TRIM45,0.0064489096
VTCN1,0.08324952
MAN1A2,0.23237033
TENT5C,0.026615705
GDAP2,0.060365062
WDR3,0.047025736
WARS2,0.051641706
PHGDH,0.26389152
HMGCS2,0.4277549
NOTCH2,0.055224452
SEC22B,0.21494535
LINC00623,0.0036685958
FCGR1BP,0.014689028
SRGAP2C,0.084182754
LINC02591,0.0
LINC02802,0.016183289
NBPF15,0.007947081
SRGAP2B,0.05258068
ENSG00000276216,0.009156752
GPR89A,0.033924326
PDZK1,0.24490565
CD160,0.0
RNF115,0.25497568
POLR3C,0.03370585
NUDT17,0.011283283
PIAS3,0.038566258
ITGA10,0.010353515
PEX11B,0.051065046
RBM8A,0.549804
LIX1L,0.051759195
POLR3GL,0.23507899
TXNIP,1.3898209
NOTCH2NLA,0.009147857
NBPF12,0.0267032
PRKAB2,0.05092449
ENSG00000237188,0.009205867
FMO5,0.029689038
CHD1L,0.056966044
BCL9,0.03317627
ACP6,0.034741584
GJA5,0.05157145
NBPF11,0.027517676
NBPF14,0.029155688
PDE4DIP,0.16566521
NBPF9,0.007922214
ENSG00000274265,0.024259396
NBPF19,0.027496807
FCGR1A,0.010814189
H2BC18,0.009258613
H2AC19,0.009894699
H2AC20,0.06777683
BOLA1,0.10577199
SF3B4,0.18213359
MTMR11,0.036011934
OTUD7B,0.061198935
VPS45,0.10512109
PLEKHO1,0.13651165
ANP32E,0.25438076
APH1A,0.36214
C1orf54,0.22702803
MRPS21,0.81913036
PRPF3,0.050350662
RPRD2,0.121568225
TARS2,0.03992607
ECM1,0.055410165
ADAMTSL4-AS2,0.0
MCL1,0.44765002
ENSA,0.57436246
GOLPH3L,0.06745341
CTSS,0.1503075
CTSK,0.049884122
ARNT,0.040338065
SETDB1,0.047786646
CERS2,0.29487517
ANXA9,0.06259502
MINDY1,0.0737092
C1orf56,0.14136271
CDC42SE1,0.2750425
MLLT11,0.024006825
GABPB2,0.052270014
TNFAIP8L2,0.013566152
SCNM1,0.09968786
LYSMD1,0.01915444
VPS72,0.103472315
PIP5K1A,0.10095805
PSMD4,0.4015107
ZNF687,0.03965397
PI4KB,0.15584134
RFX5,0.03448568
SELENBP1,0.14179333
PSMB4,0.4106265
POGZ,0.17514347
CGN,0.06416319
TUFT1,0.05310686
SNX27,0.1343738
MRPL9,0.16079414
OAZ3,0.008764257
TDRKH,0.0067924336
TDRKH-AS1,0.007871987
THEM4,0.20094328
S100A10,1.6509935
S100A11,1.5453966
TCHH,0.005138289
S100A9,0.07958344
S100A12,0.013112493
S100A8,0.052346952
S100A7,0.0
S100A6,2.8058321
S100A5,0.008100325
S100A4,0.8702928
S100A16,0.33091977
S100A14,0.09237744
S100A13,0.67380786
CHTOP,0.17177628
SNAPIN,0.18331671
ILF2,0.41076517
NPR1,0.13236894
INTS3,0.104630835
SLC27A3,0.08217015
GATAD2B,0.08288251
DENND4B,0.062673494
CRTC2,0.05523449
SLC39A1,0.31262088
CREB3L4,0.038093645
JTB,0.60104555
JTB-DT,0.0050779628
RAB13,0.6723698
RPS27,2.8579097
TPM3,0.5328317
C1orf43,0.5473259
UBAP2L,0.097643204
HAX1,0.47993746
ATP8B2,0.042775866
IL6R,0.039186727
SHE,0.034385804
UBE2Q1,0.15583858
ADAR,0.22846004
KCNN3,0.03585002
PMVK,0.3444608
PBXIP1,0.22444886
PYGO2,0.053603627
SHC1,0.079649955
CKS1B,0.15530442
FLAD1,0.07879234
ZBTB7B,0.060534645
ADAM15,0.080436766
EFNA4,0.025772948
EFNA3,0.0
EFNA1,0.0966431
SLC50A1,0.14147784
DPM3,0.6245993
KRTCAP2,0.44972986
MUC1,0.52749926
THBS3,0.027546521
MTX1,0.14046663
GBA1,0.008260262
ENTREP3,0.039731335
SCAMP3,0.093794085
CLK2,0.03841868
FDPS,0.35391298
RUSC1,0.06482685
ASH1L,0.30935094
MSTO1,0.019283136
YY1AP1,0.093398824
DAP3,0.1928182
GON4L,0.18100208
SYT11,0.035018563
RIT1,0.111095436
KHDC4,0.08031663
ARHGEF2,0.06719759
SSR2,0.7327968
UBQLN4,0.03533519
LAMTOR2,0.47740725
RAB25,0.20786197
LMNA,0.7713151
SEMA4A,0.057819054
SLC25A44,0.05941066
PMF1,0.29912794
SMG5,0.07333698
TMEM79,0.007867821
GLMP,0.09852704
CCT3,0.48928252
MEF2D,0.12709273
NAXE,0.32957172
GPATCH4,0.0964475
NES,0.11379783
CRABP2,0.05229276
ISG20L2,0.07113082
METTL25B,0.09269754
MRPL24,0.17892385
HDGF,0.25420392
PRCC,0.10395852
SH2D2A,0.023179188
PEAR1,0.031251278
ARHGEF11,0.053148698
ETV3,0.04460993
CD5L,0.0
KIRREL1,0.057561092
CD1D,0.00891023
CD1C,0.0247483
MNDA,0.04972853
PYHIN1,0.023784898
IFI16,0.19315292
ACKR1,0.049074
FCER1A,0.019507296
ENSG00000228560,0.0
APCS,0.0
DUSP23,0.3780022
FCRL6,0.0
TAGLN2,0.57559437
PIGM,0.05367224
IGSF8,0.15406892
ATP1A2,0.018413648
PEA15,0.13592277
DCAF8,0.1910299
PEX19,0.1260654
COPA,0.26201025
NCSTN,0.16242795
SLAMF6,0.011070539
CD84,0.036994614
SLAMF1,0.010402724
CD48,0.09733688
SLAMF7,0.022428209
LY9,0.007423777
CD244,0.0078026773
ITLN1,0.025506815
F11R,0.16604559
TSTD1,0.83125377
USF1,0.057196993
ARHGAP30,0.025836747
NECTIN4,0.029072637
KLHDC9,0.11953798
PFDN2,0.66144234
NIT1,0.14674447
DEDD,0.034319974
UFC1,0.56268203
USP21,0.019865679
PPOX,0.055647343
B4GALT3,0.09303749
ADAMTS4,0.032443047
NDUFS2,0.45603812
FCER1G,0.17814825
APOA2,0.0
TOMM40L,0.02886322
SDHC,0.51920336
FCGR2A,0.070211194
HSPA6,0.031932123
FCGR3A,0.08606636
FCGR3B,0.0
FCGR2B,0.03588888
FCRLB,0.022569425
DUSP12,0.07068244
ATF6-DT,0.001868878
ATF6,0.17536195
OLFML2B,0.035117183
SH2D1B,0.007835913
UHMK1,0.22979426
UAP1,0.22532368
DDR2,0.04608132
HSD17B7,0.048068617
RGS4,0.0062246984
RGS5,0.0
ENSG00000232995,0.0
PBX1,0.18130556
MGST3,1.51519
ALDH9A1,0.31482038
TMCO1,0.59917283
UCK2,0.03763195
POGK,0.10155434
TADA1,0.016671518
POU2F1,0.06370271
CD247,0.059778053
CREG1,0.23688254
RCSD1,0.050293103
MPZL1,0.12289425
MPC2,0.87428325
DCAF6,0.08260748
GPR161,0.0068513765
TIPRL,0.18653828
SFT2D2,0.103282996
XCL2,0.0
DPT,0.023022283
ATP1B1,1.8525933
NME7,0.10954318
BLZF1,0.0828289
SLC19A2,0.06591211
F5,0.019607004
SELP,0.020136466
SELL,0.028755663
METTL18,0.04961903
SCYL3,0.04977032
KIFAP3,0.13462244
GORAB,0.0198538
FMO3,0.0
FMO2,0.052406497
FMO4,0.047192562
PRRC2C,0.56743914
VAMP4,0.080795705
METTL13,0.06886583
DNM3,0.03513558
DNM3OS,0.013667678
PIGC,0.11423698
SUCO,0.14927267
PRDX6-AS1,0.013132456
PRDX6,1.1106951
KLHL20,0.05975023
CENPL,0.013446406
DARS2,0.028856698
ZBTB37,0.032084186
RC3H1,0.084466115
RABGAP1L,0.110656895
CACYBP,0.27711
MRPS14,0.2257994
KIAA0040,0.09287328
COP1,0.06760511
SEC16B,0.0036312975
RASAL2,0.07396278
RALGPS2,0.11216803
ANGPTL1,0.06763112
FAM20B,0.10883553
TOR3A,0.101315655
ABL2,0.105694264
SOAT1,0.077979706
TOR1AIP2,0.21668668
TOR1AIP1,0.119442806
ENSG00000260360,0.0006357578
CEP350,0.19136044
QSOX1,0.20400228
ACBD6,0.20746775
XPR1,0.05464933
STX6,0.053770825
MR1,0.07020318
IER5,0.10497511
GLUL,0.52745444
RNASEL,0.01839751
RGS16,0.039692994
NPL,0.05385406
DHX9,0.29913446
LAMC1,0.111497715
SMG7,0.096780725
NCF2,0.029200193
ARPC5,0.40560213
RGL1,0.052290995
TSEN15,0.105684035
C1orf21,0.05733272
EDEM3,0.07624146
NIBAN1,0.07339807
RNF2,0.052622866
TRMT1L,0.05930636
SWT1,0.026612004
IVNS1ABP,0.4915074
ENSG00000273004,0.0
HMCN1,0.017962541
TPR,0.40742722
ODR4,0.15132837
PTGS2,0.015182324
RGS18,0.011201071
RGS1,0.10152804
RGS13,0.0
RGS2,0.11983072
UCHL5,0.13661268
RO60,0.22147323
GLRX2,0.13097668
CDC73,0.15991688
KCNT2,0.0055510467
CFH,0.0937188
CFHR1,0.0
ZBTB41,0.08368775
DENND1B,0.065077014
NEK7,0.085803
PTPRC,0.18103397
MIR181A1HG,0.016011467
NR5A2,0.0
ZNF281,0.08014984
DDX59,0.056305297
CAMSAP2,0.09587685
KIF21B,0.006090014
TMEM9,0.27193823
PKP1,0.011514557
PHLDA3,0.087355964
CSRP1,0.65371394
NAV1,0.05367577
IPO9-AS1,0.0128996
IPO9,0.07978997
SHISA4,0.06303839
ENSG00000223774,0.002340227
LMOD1,0.07464871
TIMM17A,0.19168079
RNPEP,0.12816784
ELF3,0.19474542
ARL8A,0.20869654
PTPN7,0.041128296
LGR6,0.010880999
UBE2T,0.024247156
PPP1R12B,0.1599282
KDM5B,0.066214494
PCAT6,0.012218978
RABIF,0.05358503
KLHL12,0.049001094
ADIPOR1,0.20382121
CYB5R1,0.20168279
TMEM183A,0.15269147
LINC01353,0.0075253267
BTG2-DT,0.0066232593
BTG2,0.8329377
PRELP,0.047519285
ATP2B4,0.12711896
LAX1,0.0034805166
ZC3H11A,0.0035728072
ZBED6,0.0029839736
SNRPE,0.624948
SOX13,0.0790945
ETNK2,0.11000946
PLEKHA6,0.05832723
PPP1R15B,0.13150978
PIK3C2B,0.0135607775
MDM4,0.21488638
NFASC,0.055401724
RBBP5,0.06272119
DSTYK,0.082572974
CDK18,0.048225254
ELK4,0.10214334
SLC45A3,0.0033693307
NUCKS1,0.7985586
RAB29,0.089236364
SLC41A1,0.040920388
PM20D1,0.0035406894
RHEX,0.032264195
FAM72A,0.0
SRGAP2,0.05834711
RASSF5,0.04539107
EIF2D,0.09479552
MAPKAPK2,0.24244073
IL10,0.0
IL20,0.0
FCMR,0.01380841
PFKFB2,0.06757253
YOD1,0.020284576
CD55,0.21652065
CR1,0.03143801
CD46,0.6076118
MIR29B2CHG,0.113425225
CD34,0.15635715
PLXNA2,0.05371498
G0S2,0.5783469
TRAF3IP3,0.05668598
IRF6,0.08220267
UTP25,0.03534735
SERTAD4-AS1,0.15717788
HHAT,0.019766737
RCOR3,0.10097525
TRAF5,0.05568888
LINC00467,0.11202466
SLC30A1,0.09498629
NEK2,0.0
LPGAT1,0.119027145
INTS7,0.012873267
PPP2R5A,0.1520396
PACC1,0.022710657
NENF,0.7127439
ENSG00000260805,0.038084056
ATF3,0.44423738
BATF3,0.015451664
NSL1,0.15282261
TATDN3,0.1252076
FLVCR1,0.022908261
ANGEL2,0.0705935
RPS6KC1,0.042861126
SMYD2,0.035754927
