,PRE98sc
SH3D19,0.07653023
GATB,0.04549685
FBXW7,0.054039087
TMEM154,0.010926844
ARFIP1,0.15631829
TRIM2,0.3897287
TMEM131L,0.013002822
TLR2,0.006847735
PLRG1,0.15649392
FGB,0.0
FGA,0.0
FGG,0.0
MAP9,0.092033446
GUCY1A1,0.04335101
GUCY1B1,0.05695027
TDO2,0.0
CTSO,0.11959061
PDGFC,0.09890953
GASK1B,0.060523152
GASK1B-AS1,0.006685542
TMEM144,0.025641501
ETFDH,0.07891774
PPID,0.08893236
FNIP2,0.2943555
RAPGEF2,0.108340725
NAF1,0.033700638
NPY1R,0.09241546
TMA16,0.07694894
MARCHF1,0.0093797855
TRIM61,0.0
TMEM192,0.13300273
KLHL2,0.09947937
MSMO1,0.29345953
CPE,0.057479084
DDX60,0.0550988
DDX60L,0.025937192
PALLD,0.1962381
CBR4,0.20117393
SH3RF1,0.124439396
NEK1,0.08943825
CLCN3,0.36876523
HPF1,0.12977222
GALNT7,0.075981006
HMGB2,0.25508234
SAP30-DT,0.032944404
SAP30,0.025004076
SCRG1,0.0
HAND2,0.0
HAND2-AS1,0.0
FBXO8,0.14738034
CEP44,0.066223815
GPM6A,0.02739683
SPCS3,0.4339153
VEGFC,0.050226916
AGA,0.05344077
DCTD,0.10521109
WWC2,0.17074169
CDKN2AIP,0.10151182
ING2,0.08457527
RWDD4,0.1234121
TRAPPC11,0.059631582
STOX2,0.035626143
IRF2,0.1124687
CASP3,0.042447913
PRIMPOL,0.03830464
ACSL1,0.3582465
SLC25A4,0.32179734
CFAP97,0.23208597
SNX25,0.04262097
ANKRD37,0.038757794
UFSP2,0.16093783
PDLIM3,0.025198855
SORBS2,0.26537696
TLR3,0.06527984
CYP4V2,0.13297567
FAT1,0.27430192
FRG1,0.10197597
CCDC127,0.03484372
SDHA,0.35545892
PDCD6,0.3283594
AHRR,0.0
EXOC3-AS1,0.027039116
EXOC3,0.09685656
SLC9A3,0.0036141337
BRD9,0.09119117
TRIP13,0.005003001
SLC12A7,0.11150152
CLPTM1L,0.16192532
LPCAT1,0.03892607
MRPL36,0.23981798
NDUFS6,1.0880158
IRX2,0.095998615
IRX2-DT,0.052102838
ICE1,0.09905054
MED10,0.14071287
NSUN2,0.08478099
SRD5A1,0.056534287
TENT4A,0.05159941
CFAP90,0.019124486
MTRR,0.04670975
FASTKD3,0.04185194
MIR4458HG,0.38181612
SEMA5A,0.06444362
SNHG18,0.12747549
ATPSCKMT,0.055663165
CCT5,0.22730273
CMBL,0.3974053
MARCHF6,0.48196298
ROPN1L,0.0
DAP,0.281206
TRIO,0.065376334
OTULINL,0.052614413
OTULIN,0.0603057
ANKH,0.07144513
FBXL7,0.011196137
ZNF622,0.043922536
RETREG1,0.16627905
MYO10,0.1795726
BASP1,0.011325535
LINC02899,0.0
CDH6,0.06770002
DROSHA,0.048685137
C5orf22,0.054820843
PDZD2,0.056891385
GOLPH3,0.2562099
GOLPH3-DT,0.023367444
MTMR12,0.14748724
ZFR,0.18813564
SUB1,1.1135498
NPR3,0.22716706
TARS1,0.11309238
RAI14-DT,0.0034912953
RAI14,0.08737816
RAD1,0.07576662
BRIX1,0.07754145
DNAJC21,0.18053624
PRLR,0.19675831
SPEF2,0.052650873
IL7R,0.011217694
CAPSL,0.0071285833
LMBRD2,0.1248416
NADK2,0.089560695
RANBP3L,0.111192234
SLC1A3,0.012561091
NIPBL,0.17806755
CPLANE1,0.11421999
NUP155,0.06938676
WDR70,0.057616383
LIFR,0.4528857
OSMR,0.056737367
RICTOR,0.17713675
FYB1,0.02866513
DAB2,0.43657678
TTC33,0.054295477
PTGER4,0.018159771
PRKAA1,0.20272239
RPL37,2.2939258
CARD6,0.0113461
C7,0.0
PLCXD3,0.01884366
OXCT1,0.20625426
RIMOC1,0.06716257
FBXO4,0.06128221
GHR,0.06372104
CCDC152,0.00998542
SELENOP,1.2597921
ANXA2R,0.0139939
ZNF131,0.06671474
HMGCS1,0.15956832
TMEM267,0.09981529
PAIP1,0.2116731
NNT-AS1,0.16913539
NNT,0.3951938
FGF10,0.0
MRPS30,0.11473321
EMB,0.021866746
PARP8,0.049664732
ITGA1,0.19239062
PELO,0.05316849
ITGA2,0.22490494
MOCS2,0.5812717
NDUFS4,0.29101288
ENSG00000272416,0.012275679
ARL15,0.1771451
SNX18,0.23926981
GZMK,0.008898443
GZMA,0.022016026
GPX8,0.03747378
DHX29,0.15988739
MTREX,0.14315674
PLPP1,0.23350388
SLC38A9,0.04245235
IL6ST,0.597237
ANKRD55,0.0019648378
MAP3K1,0.1622518
SETD9,0.050873727
MIER3,0.052296683
GPBP1,0.3866716
RMEL3,0.0
PLK2,0.054684598
GAPT,0.0064163688
RAB3C,0.007819302
PDE4D,0.32689485
ERCC8,0.03759949
NDUFAF2,0.11481176
SMIM15,0.2024175
ZSWIM6,0.09048385
KIF2A,0.051663183
DIMT1,0.059012327
IPO11,0.04771365
RNF180,0.05910224
RGS7BP,0.016164282
SREK1IP1,0.14070895
CWC27,0.050998658
ADAMTS6,0.017725188
PPWD1,0.06244113
TRIM23,0.070850156
TRAPPC13,0.07581872
SHLD3,0.026294649
SGTB,0.019302994
NLN,0.026881818
ERBIN,0.30503035
SREK1,0.22579156
MAST4,0.12564129
CD180,0.0
PIK3R1,0.24854206
SLC30A5,0.14225923
CCNB1,0.014769136
CENPH,0.01753698
KGD4,0.4510467
CDK7,0.024059273
CCDC125,0.025047617
AK6,0.19565183
TAF9,0.121692315
RAD17,0.08428767
MARVELD2,0.09230089
OCLN,0.20698707
GTF2H2C,0.020325966
SMN1,0.02067585
NAIP,0.055024594
GTF2H2,0.12337703
BDP1,0.11100703
MCCC2,0.25708032
MAP1B,0.034584273
MRPS27,0.09678136
PTCD2,0.033159714
ZNF366,0.0043143714
TNPO1,0.20004568
FCHO2,0.13050996
BTF3,0.9725552
ANKRA2,0.07996377
UTP15,0.033061802
ARHGEF28,0.17767717
ENC1,0.046645414
HEXB,0.0880812
GFM2,0.095283754
NSA2,0.4322719
HMGCR,0.20880432
CERT1,0.14296941
POLK,0.14182664
ANKDD1B,0.015191373
POC5,0.01998107
IQGAP2,0.19758366
F2R,0.05322867
S100Z,0.0
CRHBP,0.08332574
AGGF1,0.079661794
ZBED3,0.08160032
ZBED3-AS1,0.02426858
PDE8B,0.058570936
WDR41,0.063105315
TBCA,0.8496589
AP3B1,0.19653226
SCAMP1-AS1,0.03309057
SCAMP1,0.2058253
LHFPL2,0.011615838
ARSB,0.025671156
DMGDH,0.10474125
BHMT,0.23230417
JMY,0.11282452
TENT2,0.14002225
CMYA5,0.09692722
MTX3,0.10629761
SERINC5,0.06579131
ZFYVE16,0.17909549
FAM151B-DT,0.03642767
DHFR,0.07221494
MSH3,0.0913326
RASGRF2,0.06211626
CKMT2-AS1,0.0138320355
ZCCHC9,0.06255829
SSBP2,0.11659653
ATG10,0.035073727
RPS23,2.5335183
ATP6AP1L,0.009026104
TMEM167A,0.47869027
XRCC4,0.05927517
VCAN,0.03376953
EDIL3,0.050005283
COX7C,2.0668497
RASA1,0.1093041
CCNH,0.13035434
TMEM161B,0.08985098
TMEM161B-DT,0.15330687
MEF2C,0.2533292
CETN3,0.19971268
POLR3G,0.0057686055
LYSMD3,0.08455051
ARRDC3,0.30327293
NR2F1-AS1,0.027010055
NR2F1,0.16347773
ARB2A,0.13497324
POU5F2,0.009496877
KIAA0825,0.025119996
SLF1,0.026985962
MCTP1,0.0073238034
SKIC3,0.24797095
ARSK,0.046545226
RHOBTB3,0.564115
GLRX,0.4192588
ELL2,0.12552474
CAST,0.44328642
ERAP1,0.07982774
ENSG00000248734,0.0
ERAP2,0.10826208
LNPEP,0.30694404
RIOK2,0.054910842
CHD1,0.087314256
FAM174A,0.18529831
ST8SIA4,0.011190599
PAM,0.24751252
GIN1,0.061654415
PPIP5K2,0.14565976
MACIR,0.03354385
NUDT12,0.12045811
FBXL17,0.16605987
LINC01023,0.13772857
FER,0.07441549
ENSG00000249476,0.002015402
PJA2,0.3924017
MAN2A1,0.2879825
SLC25A46,0.1525618
TSLP,0.008124926
WDR36,0.083236866
CAMK4,0.0023903344
STARD4,0.041916642
STARD4-AS1,0.008305764
NREP,0.16501732
EPB41L4A,0.085311465
EPB41L4A-AS1,0.18866375
APC,0.09863468
SRP19,0.14620371
REEP5,0.55988806
DCP2,0.10507449
MCC,0.079786286
YTHDC2,0.10499294
PGGT1B,0.09932372
CCDC112,0.024978755
FEM1C,0.08182148
TMED7,0.38949627
ATG12,0.10406989
AP3S1,0.21342558
COMMD10,0.18662763
SEMA6A,0.065244146
DMXL1,0.15981477
TNFAIP8,0.070315026
HSD17B4,0.21440533
PRR16,0.0
ENSG00000248927,0.0
SRFBP1,0.08749386
SNCAIP,0.002899045
SNX2,0.26300806
SNX24,0.11629621
PPIC,0.31940943
CEP120,0.06453213
CSNK1G3,0.103382416
ZNF608,0.056505978
GRAMD2B,0.11248222
ALDH7A1,0.179847
PHAX,0.08462614
LMNB1,0.00831742
MARCHF3,0.0062167565
C5orf63,0.039378695
PRRC1,0.11790901
SLC12A2-DT,0.07836807
SLC12A2,0.21774612
ISOC1,0.17333028
HINT1,1.458859
LYRM7,0.08863651
CDC42SE2,0.29975387
FNIP1,0.094345756
ACSL6,0.038432594
P4HA2,0.03786954
PDLIM4,0.07704463
SLC22A5,0.12581433
ENSG00000283782,0.007318916
IRF1,0.05465881
RAD50,0.020420952
KIF3A,0.08450722
CCNI2,0.011995387
SEPTIN8,0.09822309
SHROOM1,0.025229316
UQCRQ,1.685574
LEAP2,0.009942133
AFF4,0.24629717
ZCCHC10,0.11087465
HSPA4,0.18301052
ENSG00000250244,0.009719648
C5orf15,0.29292303
VDAC1,1.0318339
ENSG00000271737,0.03773369
TCF7,0.0108755
SKP1,1.5434122
PPP2CA,0.2122282
CDKL3,0.00902706
UBE2B,0.5248658
ENSG00000248559,0.0
CDKN2AIPNL,0.08197944
JADE2,0.073425956
SAR1B,0.30704126
SEC24A,0.07039329
CAMLG,0.22363693
DDX46,0.20351303
C5orf24,0.31787455
TXNDC15,0.15533307
PCBD2,0.060718354
PITX1,0.005479945
MACROH2A1,0.35672072
TGFBI,0.017557109
SMAD5-AS1,0.0044870493
SMAD5,0.31708258
KLHL3,0.24264771
HNRNPA0,0.38896173
FAM13B,0.09668639
NME5,0.14163314
BRD8,0.080721974
CDC23,0.10684809
FAM53C,0.04558246
KDM3B,0.17380527
REEP2,0.0
EGR1,0.48900267
ETF1,0.19331974
HSPA9,0.4794446
CTNNA1,0.36756083
SIL1,0.19870977
MATR3,0.0
PAIP2,0.45422563
PROB1,0.009360795
DNAJC18,0.01861894
ECSCR,0.030260388
STING1,0.075621374
UBE2D2,0.30125222
CXXC5,0.2864445
NRG2,0.034126945
MALINC1,0.010356648
PURA,0.38270268
IGIP,0.06264351
CYSTM1,1.3984828
PFDN1,0.20228916
HBEGF,0.03918733
ANKHD1,0.03442357
SRA1,0.19452384
EIF4EBP3,0.015408909
APBB3,0.045139324
SLC35A4,0.107202105
CD14,0.038286343
NDUFA2,0.95004463
TMCO6,0.009890146
IK,0.2174522
WDR55,0.04446987
HARS1,0.0781309
HARS2,0.0246458
ZMAT2,0.21055688
TAF7,0.26922846
PCDHGA5,0.0
PCDHGA6,0.004272996
PCDHGA8,0.0028185584
PCDHGA10,0.015287512
PCDHGA12,0.0
DIAPH1,0.1292033
HDAC3,0.053786546
RELL2,0.0015220183
FCHSD1,0.00890654
ARAP3,0.02518335
PCDH1,0.11949117
DELE1,0.08565241
PCDH12,0.016582951
RNF14,0.15776318
GNPDA1,0.08480062
NDFIP1,0.70568883
SPRY4,0.03873124
ARHGAP26,0.027248189
NR3C1,0.1757609
YIPF5,0.16108166
LARS1,0.2703205
RBM27,0.065074906
TCERG1,0.10658564
DPYSL3,0.024217082
JAKMIP2,0.0
FBXO38,0.06280758
ADRB2,0.0017722496
AFAP1L1,0.021708041
GRPEL2,0.050693776
PCYOX1L,0.013565506
IL17B,0.006734694
CARMN,0.025487289
LNPPS,0.0
CSNK1A1,0.1497135
ARHGEF37,0.030497903
PPARGC1B,0.002158536
SLC26A2,0.060736246
TIGD6,0.02815808
HMGXB3,0.07327795
CSF1R,0.00979846
PDGFRB,0.027970083
TCOF1,0.036364112
CD74,0.7662605
RPS14,2.4788744
NDST1,0.05455556
SYNPO,0.0362678
RBM22,0.11725588
DCTN4,0.2035048
SMIM3,0.032158673
ZNF300,0.013635646
GPX3,1.0040344
TNIP1,0.16811286
ANXA6,0.17925307
CCDC69,0.030577406
GM2A,0.031345177
SLC36A1,0.009217383
SPARC,0.26846197
ATOX1,1.1637588
G3BP1,0.3782044
FAM114A2,0.06697874
MFAP3,0.017257128
GALNT10,0.06632996
SAP30L,0.082407035
LARP1,0.21636169
FAXDC2,0.055646565
CNOT8,0.11802189
GEMIN5,0.0450652
MRPL22,0.25932056
HAVCR2,0.027810642
MED7,0.14772762
CYFIP2,0.50770605
ADAM19,0.010718704
THG1L,0.022338577
LSM11,0.0149089
CLINT1,0.33764496
EBF1,0.0703881
RNF145,0.12522477
UBLCP1,0.16316974
TTC1,0.19547436
PWWP2A,0.110881396
C1QTNF2,0.0
FAM200C,0.01463088
SLU7,0.08443764
PTTG1,0.0537201
CCNG1,0.2335717
NUDCD2,0.18743919
MAT2B,0.32930076
WWC1,0.13689461
RARS1,0.120168746
PANK3,0.23138757
SLIT3,0.039043296
SPDL1,0.022439018
DOCK2,0.0032418584
LCP2,0.012674768
KCNMB1,0.012432225
RANBP17,0.013248157
NPM1,0.998468
FBXW11,0.14939822
STK10,0.017866738
UBTD2,0.047341425
SH3PXD2B,0.0049233297
NEURL1B,0.0164044
DUSP1,0.7770233
ERGIC1,0.23501007
RPL26L1,0.17956786
ATP6V0E1,1.1638018
CREBRF,0.29691768
BNIP1,0.02872767
STC2,0.011273092
BOD1,0.10240975
CPEB4,0.55878854
DRD1,0.0032301634
SFXN1,0.1409015
HRH2,0.004300729
THOC3,0.025513152
SIMC1,0.0110209705
KIAA1191,0.36740384
ARL10,0.016716665
NOP16,0.030054687
HIGD2A,0.604837
CLTB,0.37314528
FAF2,0.08155223
RNF44,0.11062808
EIF4E1B,0.0
TSPAN17,0.04202212
HK3,0.0019352554
UIMC1,0.038240463
ZNF346,0.034370713
NSD1,0.16193339
MXD3,0.020094544
PRELID1,0.4911818
LMAN2,0.38372236
RGS14,0.060671195
F12,0.009041972
GRK6,0.0353408
PRR7,0.011954889
DBN1,0.09791072
PDLIM7,0.072075784
DOK3,0.002454939
DDX41,0.06567223
FAM193B,0.053265445
TMED9,0.26579416
B4GALT7,0.08994884
N4BP3,0.013309934
RMND5B,0.09344435
NHP2,0.4643325
HNRNPAB,0.19415736
PHYKPL,0.05203876
CLK4,0.12646274
ZNF354A,0.031311885
ZNF354B,0.022911558
ZNF354C,0.016754681
ADAMTS2,0.0
RUFY1,0.09060209
HNRNPH1,1.4316276
CANX,1.0365658
MAML1,0.05753242
LTC4S,0.0823703
MGAT4B,0.16060281
SQSTM1,0.5004017
MRNIP,0.044344336
MRNIP-DT,0.041170593
TBC1D9B,0.09348635
RNF130,0.16074614
MAPK9,0.10370192
CNOT6,0.11552648
FLT4,0.026641224
MGAT1,0.11164532
LINC00847,0.030196236
ZFP62,0.046627853
BTNL9,0.052297145
TRIM7-AS2,0.045062747
TRIM7,0.008477828
TRIM41,0.07623224
RACK1,1.4181315
TRIM52,0.05215851
DUSP22,0.060753096
IRF4,0.0
EXOC2,0.03835676
ENSG00000272463,0.00460993
FOXC1,0.052868765
GMDS,0.07070719
GMDS-DT,0.031071391
WRNIP1,0.089736044
SERPINB1,0.23972611
SERPINB9,0.05115175
SERPINB6,0.3665615
LINC01011,0.010466256
NQO2,0.2773242
RIPK1,0.028415402
BPHL,0.14655373
TUBB2A,0.057458792
TUBB2B,0.075209826
PSMG4,0.2624308
SLC22A23,0.071048364
PXDC1,0.04806468
FAM50B,0.082076624
PRP4K,0.32014826
ECI2,0.2973679
CDYL,0.09689213
PPP1R3G,0.0
LYRM4,0.05011908
FARS2,0.0482718
NRN1,0.019857401
F13A1,0.01707572
LY86,0.007415285
RREB1,0.21279804
SSR1,0.38716733
RIOK1,0.046629015
DSP,0.37310538
SNRNP48,0.048518054
BLOC1S5,0.084690236
EEF1E1,0.32767367
SLC35B3,0.084276
TFAP2A,0.23719761
GCNT2,0.094354
PAK1IP1,0.04117435
TMEM14C,0.484095
TMEM14B,0.4452003
SYCP2L,0.0077708946
ELOVL2,0.0
SMIM13,0.035312682
NEDD9,0.3095791
TMEM170B,0.037939273
HIVEP1,0.04059578
EDN1,0.0693345
PHACTR1,0.05438012
TBC1D7,0.045448713
GFOD1,0.025962627
SIRT5,0.079414934
NOL7,0.23542495
RANBP9,0.09263391
MCUR1,0.16794975
CD83,0.04643749
JARID2,0.06421489
DTNBP1,0.0508013
MYLIP,0.09824224
GMPR,0.096444845
ATXN1,0.14898048
RBM24,0.014822542
CAP2,0.04214453
FAM8A1,0.097666
NUP153,0.09092878
NUP153-AS1,0.0067416895
KIF13A,0.081978686
TPMT,0.26026493
KDM1B,0.020219551
DEK,0.3734472
RNF144B,0.10714988
ID4,0.07160709
E2F3,0.029939132
CDKAL1,0.05286757
SOX4,0.36039114
MRS2,0.11615293
TDP2,0.1562487
ACOT13,0.15217865
ENSG00000272345,0.003761888
C6orf62,0.52056384
GMNN,0.2068847
RIPOR2,0.029595466
CARMIL1,0.24767838
TRIM38,0.1171166
H1-2,0.1405448
HFE,0.01797039
H4C3,0.41908827
H2BC4,0.010149196
H2AC6,0.079964265
H1-4,0.022243949
H2BC5,0.007997397
ENSG00000282988,0.0
H4C5,0.0038675952
H1-3,0.008836327
H4C8,0.01922307
BTN3A2,0.052753683
BTN2A2,0.017872201
BTN3A1,0.02573195
BTN3A3,0.028821526
BTN2A1,0.0332934
HCG11,0.0474345
HMGN4,0.019459397
ABT1,0.07272213
ZNF322,0.072045565
ZNF391,0.023278818
H4C11,0.0039370987
H2BC15,0.0051565478
ZSCAN16-AS1,0.4972344
ZKSCAN8,0.048831105
ZSCAN9,0.031084945
ZKSCAN4,0.011420572
ZSCAN26,0.028586667
PGBD1,0.00938265
ZKSCAN3,0.018869234
ZSCAN12,0.010441074
TRIM27,0.06207736
UBD,0.015081915
GABBR1,0.05284323
HLA-F,0.13820001
HLA-A,1.0010114
POLR1H,0.19064294
PPP1R11,0.13380873
TRIM26,0.10799389
HCG18,0.08564028
TRIM39,0.027868105
RPP21,0.12959227
HLA-E,0.6378646
GNL1,0.12821342
PRR3,0.023753176
ABCF1,0.14476554
PPP1R10,0.24295138
MRPS18B,0.25272155
ATAT1,0.018165518
C6orf136,0.12922451
DHX16,0.038280614
PPP1R18,0.024314871
NRM,0.016346188
MDC1,0.06947187
TUBB,0.45461735
FLOT1,0.31081855
IER3,0.6285547
DDR1,0.29495126
VARS2,0.03921149
PSORS1C1,0.008189829
CCHCR1,0.048450254
TCF19,0.011483495
ENSG00000272501,0.011058423
HCG27,0.0
HLA-C,1.058651
HLA-B,1.0616077
MICA,0.04692588
DDX39B,0.042861503
NFKBIL1,0.078741305
TNF,0.0064336704
LTB,0.025212202
LST1,0.015885374
NCR3,0.005953336
AIF1,0.02619108
PRRC2A,0.1902955
BAG6,0.207278
C6orf47,0.025301049
GPANK1,0.07041793
CSNK2B,0.33514467
LY6G5C,0.016079886
ABHD16A,0.0
LY6G6C,0.0
DDAH2,0.28040907
CLIC1,0.7283837
VARS1,0.054845694
LSM2,0.24531299
HSPA1A,0.70300716
HSPA1B,0.6204514
SNHG32,0.19373603
NEU1,0.18293162
SLC44A4,0.025483608
EHMT2,0.062479135
C2,0.008641985
NELFE,0.1662802
SKIC2,0.037339736
DXO,0.057323016
STK19,0.06226231
TNXB,0.015282514
ATF6B,0.1068225
FKBPL,0.015541644
PRRT1,0.0097501455
PPT2,0.022032706
AGPAT1,0.123304866
RNF5,0.26835433
AGER,0.011665211
PBX2,0.061269425
GPSM3,0.02611
NOTCH4,0.07428146
HLA-DRA,0.48232946
HLA-DRB5,0.39441502
HLA-DRB1,0.60430956
HLA-DQA1,0.06800215
HLA-DQB1,0.14742069
HLA-DQA2,0.004406328
TAP2,0.045894288
PSMB8,0.2632891
PSMB8-AS1,0.039966702
PSMB9,0.19187601
TAP1,0.07338638
HLA-DMB,0.042965658
HLA-DMA,0.18449084
BRD2,0.3410518
HLA-DOA,0.020672427
HLA-DPA1,0.22714931
HLA-DPB1,0.14171796
RXRB,0.07119885
SLC39A7,0.14543512
HSD17B8,0.18837963
RING1,0.14018515
VPS52,0.076722264
RPS18,2.8451707
B3GALT4,0.046626594
WDR46,0.07765518
PFDN6,0.16519177
RGL2,0.08801991
TAPBP,0.29049847
ZBTB22,0.049995627
DAXX,0.039547488
PHF1,0.15579197
CUTA,0.8688089
SYNGAP1,0.018916775
BAK1,0.05691102
UQCC2,0.49629784
LEMD2,0.03797429
HMGA1,0.17149644
SMIM29,0.08007443
NUDT3,0.2463466
RPS10,0.96305776
SPDEF,0.0064985245
ILRUN,0.0768628
ILRUN-AS1,0.127463
SNRPC,0.21648343
BLTP3A,0.049782034
TAF11,0.12986684
ANKS1A,0.082255706
SCUBE3,0.03842728
ZNF76,0.08762478
DEF6,0.012143963
PPARD,0.034204196
RPL10A,1.4180909
TEAD3,0.024395948
FKBP5,0.23740026
SRPK1,0.05921095
MAPK14,0.06939601
MAPK13,0.06470829
BRPF3,0.06532231
ETV7,0.00811733
KCTD20,0.07790053
STK38,0.04679952
SRSF3,0.7490249
CDKN1A,0.08426498
PPIL1,0.052804947
C6orf89,0.115595266
MTCH1,0.38316253
FGD2,0.007033107
PIM1,0.06522289
TBC1D22B,0.02217234
RNF8,0.06853089
CMTR1,0.033825416
CCDC167,0.12379741
ZFAND3,0.13894694
BTBD9,0.032595396
GLO1,0.52667874
SAYSD1,0.065626346
KCNK17,0.0
DAAM2,0.011583897
MOCS1,0.037626613
OARD1,0.2679607
NFYA,0.022254547
TREM2,0.0
TREM1,0.0
FOXP4-AS1,0.009531236
FOXP4,0.0553311
TFEB,0.12474477
FRS3,0.025922624
MED20,0.051283
BYSL,0.02140721
CCND3,0.10584339
TAF8,0.080080114
C6orf132,0.016537456
MRPS10,0.17883961
TRERF1,0.023954596
UBR2,0.14936544
TBCC,0.045741513
BICRAL,0.063791335
RPL7L1,0.14982969
C6orf226,0.09905607
PTCRA,0.0
CNPY3,0.08334787
LINC02976,0.0
GNMT,0.005690632
PPP2R5D,0.02976817
MEA1,0.17154238
KLHDC3,0.15473212
RRP36,0.11173349
CUL7,0.043901186
KLC4,0.068281636
MRPL2,0.30209
PTK7,0.064376876
SRF,0.03059459
CUL9,0.029073816
DNPH1,0.53180784
ZNF318,0.036934517
ABCC10,0.02158481
TJAP1,0.062631816
POLR1C,0.045162905
YIPF3,0.2631345
XPO5,0.023291973
GTPBP2,0.035834625
MAD2L1BP,0.04416463
MRPS18A,0.14961621
VEGFA,0.33410853
MRPL14,0.28730172
TMEM63B,0.10784653
SLC29A1,0.11228214
HSP90AB1,1.0149118
SLC35B2,0.08894809
NFKBIE,0.026558936
CDC5L,0.13588007
SUPT3H,0.035019767
RUNX2,0.011612943
CLIC5,0.024648994
ENPP4,0.16352993
ENPP5,0.054138977
RCAN2,0.21436006
SLC25A27,0.06948243
PLA2G7,0.0
ADGRF5,0.48784125
TNFRSF21,0.10405167
CD2AP,0.31748
MMUT,0.22000134
CENPQ,0.01805555
MCM3,0.068928555
PAQR8,0.04435524
EFHC1,0.069307186
TRAM2,0.016611103
TRAM2-AS1,0.018032178
TMEM14A,0.25472236
GSTA2,0.45247668
GSTA1,0.5676885
GSTA4,0.14994198
CILK1,0.03977729
FBXO9,0.21652958
ELOVL5,0.09275876
GCLC,0.09613946
LRRC1,0.0695763
HMGCLL1,0.00283351
BMP5,0.0015283539
COL21A1,0.008845152
DST,0.22365484
KIAA1586,0.02911079
ZNF451,0.14247045
BAG2,0.011940851
RAB23,0.023562826
PTP4A1,0.39682212
PHF3,0.27162898
ADGRB3,0.0036865193
LMBRD1,0.5657942
FAM135A,0.071471855
SDHAF4,0.059582517
SMAP1,0.10449902
B3GAT2,0.02446389
OGFRL1,0.046624556
LINC00472,0.09344106
CGAS,0.0050553437
MTO1,0.056543168
EEF1A1,3.3635097
SLC17A5,0.10624009
CD109,0.11681383
COL12A1,0.06874814
COX7A2,1.3411021
TMEM30A,0.3125374
FILIP1,0.029735385
SENP6,0.25742146
MYO6,0.47004488
IRAK1BP1,0.033428036
PHIP,0.20584714
HMGN3,0.9476509
LCA5,0.02006529
SH3BGRL2,0.10285174
BCKDHB,0.1485098
TENT5A,0.04123664
IBTK,0.17538093
TPBG,0.030798059
UBE3D,0.014239271
DOP1A,0.064436994
PGM3,0.05177796
RWDD2A,0.03617133
ME1,0.007814767
CYB5R4,0.05430212
CEP162,0.047309365
NT5E,0.055811364
SNX14,0.21405452
SYNCRIP,0.3205422
CGA,0.0037100618
ZNF292,0.17033115
SMIM8,0.11440918
SLC35A1,0.09635104
RARS2,0.06523233
ORC3,0.10833427
AKIRIN2,0.13322754
RNGTT,0.03455436
PNRC1,0.69133294
PM20D2,0.080399126
UBE2J1,0.19055098
RRAGD,0.35595867
ANKRD6,0.039624896
LYRM2,0.15324655
MDN1,0.05104259
CASP8AP2,0.04598136
MAP3K7,0.08615231
MANEA,0.13787135
UFL1,0.20299019
FHL5,0.012291423
NDUFAF4,0.17321004
MMS22L,0.014403253
FBXL4,0.1421267
COQ3,0.037961584
PNISR,0.5816144
USP45,0.04567861
CCNC,0.20840959
ASCC3,0.062160596
HACE1,0.065208405
PREP,0.029518573
ATG5,0.09204457
PRDM1,0.045240693
CRYBG1,0.16298759
RTN4IP1,0.020828081
QRSL1,0.058935303
CD24,1.4386936
MTRES1,0.10361592
SOBP,0.025880788
SCML4,0.0050087073
SEC63,0.18928778
OSTM1,0.088232
SNX3,0.8095089
AFG1L,0.031604324
FOXO3,0.20143712
ARMC2,0.011106967
SESN1,0.06534464
CEP57L1,0.027788011
CD164,0.79083264
SMPD2,0.020993013
MICAL1,0.018880034
ZBTB24,0.05084542
AK9,0.0453812
FIG4,0.024155663
WASF1,0.013711892
CDC40,0.14207554
CDK19,0.06351552
AMD1,0.45410356
GTF3C6,0.24848607
RPF2,0.08784716
MFSD4B,0.033875115
REV3L,0.10654516
ENSG00000272356,0.007612018
TRAF3IP2-AS1,0.026743209
TRAF3IP2,0.027141845
FYN,0.044056974
TUBE1,0.07488755
FAM229B,0.18814869
LAMA4,0.020362707
MARCKS,0.4005589
MROCKI,0.0
HDAC2,0.26233643
NT5DC1,0.17971046
COL10A1,0.0
TSPYL4,0.080694735
DSE,0.05523873
TSPYL1,0.5227286
CALHM6,0.0067700567
RWDD1,0.20825581
ZUP1,0.027152918
KPNA5,0.078654215
FAM162B,0.011305823
DCBLD1,0.018934036
GOPC,0.11107307
NUS1,0.18193607
CEP85L,0.022065507
PLN,0.08536461
MCM9,0.03904496
ASF1A,0.08068308
MAN1A1,0.5389558
GJA1,0.048837963
HSF2,0.036700573
SERINC1,0.6635033
PKIB,0.05144849
SMPDL3A,0.16097873
RNF217,0.038850896
TPD52L1,0.18976583
HDDC2,0.35519913
HEY2,0.009898472
NCOA7,0.35100105
HINT3,0.11842052
TRMT11,0.077161685
CENPW,0.018805308
RSPO3,0.0
RNF146,0.1316238
ECHDC1,0.2084862
THEMIS,0.0
PTPRK,0.10414851
LAMA2,0.0051217577
ARHGAP18,0.3037593
L3MBTL3,0.02567934
SAMD3,0.007896163
EPB41L2,0.048102815
AKAP7,0.06776868
ARG1,0.0
MED23,0.095658354
CCN2,0.20150402
STX7,0.25123754
VNN1,0.0349103
